idx	offset	len	original_en	translation_zh	notes
0	0x0200	7	Objects	物品
1	0x0209	140	Dagger\rMade with a reinforced\rtitanium steel blade, this\rdagger would be effective\rwhen used hand to hand\ragainst an opponent without\rarmor.	匕首\r以強化鈦鋼刀刃製成，\r近戰對付無防護的敵人\r十分有效。
2	0x0297	179	Sword\rWell balanced and highly\rdecorated, this sword can be\rused both in state ceremonies\ras well as in battle. It\rwould be highly lethal when\rused against an enemy without\rarmor.	劍\r平衡良好且裝飾華麗，\r此劍可用於國家典禮\r亦可用於戰鬥。對\r無防護敵人致命。
3	0x034C	233	Pistol\rMade for U.N.F.A. a security\rweapon, the Baretta 2043-UFS\ractually came into field\rservice in 2044 due to\rproblems with its loading\rsystem.  It fires a standard\rnine millimeter ammunition\rand is very effective at\rshort ranges.	手槍\r為 U.N.F.A. 製造的安全\r武器，貝瑞塔 2043-UFS\r因供彈系統問題延至\r2044 年才服役。發射\r標準九毫米彈藥，近\r距離極具威力。
4	0x0437	169	Rifle\rA hunter's weapon, this rifle\ris a long range weapon with\rfair accuracy. Although it is\rnot designed for combat\rsituations, it can be very\rdeadly in that capacity.	步槍\r獵人的武器，此步槍\r為遠程武器，精準度\r尚可。雖非為戰鬥而\r設計，用於戰鬥仍能\r致命。
5	0x04E2	116	Assault Rifle\rWithout a doubt an assassin's\rweapon, this rifle fires high\rpower ammunition with laser\rfine accuracy.	突擊步槍\r毫無疑問是刺客武器，\r發射高威力彈藥，\r雷射級的精準。
6	0x0558	232	Machine Gun\rVery similar in design to\rU.N.F.A.'s hastily created\rG11-S, this machine gun fires\rcaseless rounds that can\rpenetrate most kinds of\rballistic armor. Like most\rmachine guns, it suffers from\ra very limited effective\rrange.	機槍\r設計與 U.N.F.A. 倉促製\r造的 G11-S 極為相似，\r此機槍發射無殼彈，可\r貫穿多數彈道防護。如\r多數機槍，其有效射程\r十分有限。
7	0x0642	257	Hand Laser\rThe innovative design of this\rhand laser is both functional\rand practical.  Using a\rcoiled heat damping system,\rthis weapon design allows\rlaser technology to be\reffective in a hand held\rsize.  It depends on\rammunition in the form of a\rpower cell.	手持雷射\r此手持雷射的創新設計\r兼具功能與實用。採用\r盤繞式散熱系統，使雷\r射技術能在手持尺寸下\r發揮效用。其彈藥為動\r力電池。
8	0x0745	234	Laser Rifle\rMore accurate than its hand\rheld counterpart, the laser\rrifle is designed for\rslightly heavier tasks which\rrequire more power in a\rlonger burst. In most\rgalactic societies, this has\rbecome the standard medium\rrange weapon.	雷射步槍\r比手持型更為精準，雷\r射步槍是為較重型任務\r而設計，於更長爆發中\r提供更高威力。在多數\r星際社會中已成為標準\r中程武器。
9	0x0831	275	Assault Laser\rCreated to deliver maximum\rdamage without suffering from\rthe dangers of medium ranged\ropposing fire, the Assault\rLaser has the best of both\rworlds and is a military\rissue weapon of choice.  Only\rthe very best of reflective\rarmors are useful against\rthis weapon.	突擊雷射\r為了輸出最大傷害又避\r開中距交火危險而生，\r突擊雷射兼具兩者優\r勢，是軍方首選配發武\r器。唯有最頂級反射裝\r甲才能抵禦此武器。
10	0x0946	233	Electron Gun\rThe fourth and least\reffective in a class of\r"sub-atomic" weapons, the\rElectron class gun creates\rinjuries by stripping the\relectrons from contacted\rmolecular structures, thereby\rseverely injuring any\runshielded targets.	電子槍\r「次原子」武器系列中\r第四且威力最弱的，電\r子級槍藉由剝離接觸分\r子結構的電子造成傷\r害，可重創任何無護盾\r目標。
11	0x0A31	237	Neutron Gun\rThe third in the class of\r"sub-atomic" weapons, the\rNeutron Gun breaks down the\rmolecular integrity of its\rtarget by a barrage of very\rtightly focused neutrons.\rUnshielded targets are often\rseriously injured by these\rweapons.	中子槍\r「次原子」武器系列第\r三件，中子槍以密集聚\r焦中子流瓦解目標的分\r子結構完整性。無護盾\r目標常被此武器重創。
12	0x0B20	304	Sub-Atomic Blaster\rLike the less developed\rmodels, the sub-atomic\rblaster combines the\rstrategies of electron and\rneutron guns and hits a\rtarget with much stronger\reffect.  In addition, the\rdesigners of the sub-atomic\rblaster have also solved the\rproblems of range and\raccuracy, improving on both\rcounts.	次原子爆破槍\r如前代較不成熟的型\r號，此次原子爆破槍\r結合電子與中子槍的\r策略，能以更強效果擊\r中目標。此外，其設計\r者亦解決了射程與精準\r度的問題，雙雙改進。
13	0x0C52	376	Blue Quark Gun\rCode named project Blue\rQuark, this gun was a top\rsecret weapons development in\rSector Alnasl. Created by the\rOminar for a Dhoven\rcontractor, the Blue Quark\rGun is the first class\r"sub-atomic" weapon.  Firing\ran incredibly dense stream of\ranti-gluons into its target,\rthe gun comes close to\rcompletely disassembling\rthose unfortunate enough to\rfeel its effects.	藍夸克槍\r代號「藍夸克」計畫，\r此槍為阿爾納斯星區\r的最高機密武器開發。\r由 Ominar 為 Dhoven 承\r包商打造，藍夸克槍是\r第一等的「次原子」武\r器。向目標發射極密的\r反膠子流，幾乎能完全\r拆解任何不幸感受其威\r力者。
